leukemia_class,1,2,3,4,5
ALL with hyperdiploid karyotype,0,0,40,0,0
ALL with t(12;21),0,0,57,0,1
ALL with t(1;19),0,0,36,0,0
AML complex aberrant karyotype,0,0,0,12,36
AML with inv(16)/t(16;16),0,1,0,27,0
AML with normal karyotype + other abnormalities,2,13,5,242,89
AML with t(11q23)/MLL,0,2,1,30,5
AML with t(15;17),0,0,0,35,2
AML with t(8;21),0,0,0,33,7
CLL,446,0,0,0,2
CML,0,0,1,0,75
MDS,0,0,0,0,206
Non-leukemia and healthy bone marrow,1,0,0,0,73
Pro-B-ALL with t(11q23)/MLL,0,0,69,1,0
T-ALL,0,165,2,2,5
c-ALL/Pre-B-ALL with t(9;22),0,0,120,0,2
c-ALL/Pre-B-ALL without t(9;22),1,3,231,0,2
mature B-ALL with t(8;14),0,0,9,0,4
